Sample	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	TOTAL
CV_GBM_C009_trim_R1	2803283	3967721	4115217	4157156	2496224	2366856	3010790	1482412	1358040	1946219	879192	585873	259281	226940	156726	149671	169599	129920	114258	189542	219778	79005	44886	47457	48209	35923	49258	442201	40,85294224
CV_GBM_C009_trim_R2	2779041	3764620	4033629	4295613	2495535	2361418	3006884	1479776	1357550	1947702	878969	585922	289367	272220	231574	173742	166730	130426	115867	191354	219355	79616	44902	47115	48701	36146	50028	447835	41,25826071
CV_GBM_C010_trim_R1	2488609	3157984	2635603	2697734	1639324	1672026	1915723	857933	853419	939161	476673	352495	153108	138219	87012	79281	81794	77864	70560	93179	112288	37381	28549	33069	42004	27047	28594	275010	38,47808981
CV_GBM_C010_trim_R2	2465089	3050181	2581259	2754193	1639342	1671311	1912932	856536	853236	939988	476439	352711	178864	174212	137439	95725	80011	77864	71385	94362	111808	37579	28412	32966	42492	27136	29291	278880	38,90395087
CV_GBM_C011_trim_R1	2336501	3762869	3623044	3815865	2311719	2244685	2836635	1280092	1196890	1754231	814692	543551	242593	231791	129406	108701	142785	116229	88585	168971	202362	56583	34639	36467	34394	28402	44179	308565	40,38656801
CV_GBM_C011_trim_R2	2322498	3577264	3549418	3943020	2310370	2240268	2833513	1277376	1196099	1757087	814445	543349	267283	270936	193383	130525	140933	116732	89712	169968	202156	56941	34734	36248	34772	28535	44485	313376	40,77173842
CV_GBM_C016_trim_R1	1439805	2448202	2071149	2613802	1433099	1557327	1664857	828884	914953	1631665	465358	434500	105231	155870	93516	82099	107555	111454	70682	136653	299799	64652	38768	42497	41221	28993	35772	395472	43,73587043
CV_GBM_C016_trim_R2	1429866	2341305	2028462	2683163	1431648	1552879	1662160	826964	914007	1633842	465110	434246	121891	181686	133545	95751	106043	111643	71410	137221	299841	65063	38818	42365	41311	29230	36056	398309	44,09005462
CV_GBM_C018_trim_R1	2292419	3170181	3369752	3189699	1825406	1759688	2179988	996738	1197477	1603105	630597	464526	198212	205589	136920	120407	125335	131266	107047	185949	343117	83359	51215	59835	65755	37820	40012	559564	42,71845489
CV_GBM_C018_trim_R2	2271609	2963024	3300007	3342034	1825540	1756505	2176917	994631	1196748	1605215	630649	464338	224939	241064	198854	142198	123680	131012	107969	187175	342976	83826	51266	59753	66167	38115	40957	563810	43,16034855
CV_GBM_C019_trim_R1	1339289	2157653	2201230	2481682	1417805	1610832	1813466	969881	1358360	2097557	700706	455401	156742	212722	104922	105048	143502	125769	103812	197481	444725	90313	55776	63666	64581	42569	58455	892873	49,15310015
CV_GBM_C019_trim_R2	1326829	2015870	2155895	2586465	1417869	1607793	1809673	966959	1357267	2100044	700855	455276	173826	235278	147547	119213	142854	125936	105082	198687	444792	91204	55684	63227	64728	42851	59048	896066	49,50325498
CV_GBM_C020_trim_R1	1903249	3873645	3510626	4115484	2367105	2430109	2319259	1367012	1646766	2029255	711127	446155	234851	250239	138092	138878	137422	153709	127954	178832	328998	89999	66625	75358	84193	50291	52524	746068	43,54859018
CV_GBM_C020_trim_R2	1882434	3633809	3442460	4295436	2371218	2426221	2309240	1365142	1645847	2031194	711306	445906	258423	286886	213826	156826	137074	151424	128984	180490	328547	90623	66413	75162	84813	50461	54025	749635	43,94428181
CV_GBM_C028_trim_R1	839782	606527	207735	143306	78461	67177	68818	17782	21422	14007	7118	4584	3241	3254	2085	1593	1515	1001	905	1206	1635	769	424	524	424	304	354	4779	23,32817085
CV_GBM_C028_trim_R2	828670	598866	205386	142811	77796	67063	68315	17638	21411	14929	6684	4431	12594	11373	5573	2206	1403	1240	1130	1269	1650	724	400	528	445	343	357	5497	24,004785
