Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
CV_GBM_C009_trim_R1	98.01073207484508	59.0	42.831906174106976	37	45.45454545454545	31.531637
CV_GBM_C009_trim_R2	97.71661799855735	58.0	43.23695663184249	37	45.45454545454545	31.531637
CV_GBM_C010_trim_R1	97.2794255791439	58.0	40.45849442725207	32	45.45454545454545	21.051643
CV_GBM_C010_trim_R2	96.97050603273857	58.0	40.88407973667424	32	45.45454545454545	21.051643
CV_GBM_C011_trim_R1	97.9610235003474	59.0	42.3703251356902	37	45.45454545454545	28.495426
CV_GBM_C011_trim_R2	97.74569644784341	58.0	42.755242297483115	37	45.45454545454545	28.495426
CV_GBM_C016_trim_R1	98.02804765894183	59.0	45.705156277870245	37	45.45454545454545	19.313834999999997
CV_GBM_C016_trim_R2	97.74398951963371	58.0	46.05912013331376	37	45.45454545454545	19.313834999999997
CV_GBM_C018_trim_R1	97.93387696101072	58.0	44.685056029256	37	45.45454545454545	25.130978
CV_GBM_C018_trim_R2	97.63373363266048	58.0	45.1266962630742	37	45.45454545454545	25.130978
CV_GBM_C019_trim_R1	98.21337512106389	58.0	51.090710393128596	42	45.45454545454545	21.466818
CV_GBM_C019_trim_R2	97.89095092874825	58.0	51.44064211100127	42	45.45454545454545	21.466818
CV_GBM_C020_trim_R1	97.99750393045902	58.0	45.51074921826987	37	45.45454545454545	29.573825
CV_GBM_C020_trim_R2	97.70769534724536	58.0	45.90625992748655	37	45.45454545454545	29.573825
CV_GBM_C028_trim_R1	95.07066999277342	59.0	25.32475846514453	22	45.45454545454545	2.100732
CV_GBM_C028_trim_R2	94.68339982580251	59.0	26.0008599383453	22	45.45454545454545	2.100732
CV_GBM_C029_trim_R1	97.1268317685086	58.0	35.60139791882642	27	45.45454545454545	5.148153
CV_GBM_C029_trim_R2	96.77146233693067	58.0	36.19121488813561	32	45.45454545454545	5.148153
CV_GBM_C030_trim_R1	97.46510206477596	58.0	33.38122268456727	27	45.45454545454545	10.508025
CV_GBM_C030_trim_R2	97.19092125569057	58.0	34.04516876387333	27	45.45454545454545	10.508025
CV_GBM_C031_trim_R1	97.0685469907339	59.0	37.95151596453365	32	45.45454545454545	6.008287
CV_GBM_C031_trim_R2	96.72203877787346	58.0	38.467429485309204	32	45.45454545454545	6.008287
CV_GBM_C033_trim_R1	98.07631062918085	57.0	40.0660906836772	32	45.45454545454545	15.329792999999999
CV_GBM_C033_trim_R2	97.80160327948596	57.0	40.63599188847495	32	45.45454545454545	15.329792999999999
CV_GBM_C035_trim_R1	98.39621641970759	58.0	45.29743862881465	37	45.45454545454545	23.100946999999998
CV_GBM_C035_trim_R2	98.0923425557984	57.0	45.788270671327886	42	45.45454545454545	23.100946999999998
CV_GBM_C036_trim_R1	98.12310559170332	57.0	48.873339566321114	42	45.45454545454545	27.812237
